SMILES,diff
C(=O)(Nc(cc1)ccc1OCCCCCCCCCC)Nc2cccc(C)c2C,10.47
c1(oc(c2n1)ccc(c2)\N=C\c(cc(Br)cc3Br)c3O)c4c(O)cc(c5c4)cccc5,11.34
C1(SC)=C(C(C)=O)C(=S)NC(c2ccccc2)=N1,8.629999999999999
[N+](=O)([O-])c1cccc(c1)\C=N\NC(=O)C(C)Cc2cccc(OC)c2,33.9
C(=O)(c1cccc(F)c1)NCC(=O)N\N=C\c2cc(Cl)ccc2O,37.35
C(=O)(Oc(cc1)ccc1\C=N\N=C\c(cc2)ccc2OC(=O)c3ccccc3OC(C)=O)c4ccccc4OC(C)=O,7.73
N(=C(\C)/c1cccc(c1)NC(C)=O)/NC(CSCc2ccccc2Cl)=O,30.29
C(=O)(N\N=C\c(ccc(c1OC)OC)c1)C(=O)Nc(cc2)ccc2OCCCCC,8.53
C1(=N2)N(C=CN=C1Oc3ccccc3)C(N2CC(=O)Nc4ccccc4Cl)=O,5.5500000000000025
C1(=N2)N(C=CN=C1Oc3cccc(C)c3C)C(N2CC(=O)Nc4ccccc4C(F)(F)F)=O,5.1
c1(cc(ccc1Cl)SC)C(NCCOc2ccccc2F)=O,23.18
C1(C#N)(C#N)[C@@H](c(cc2)ccc2C(C)C)[C@@]3([H])C(C(C#N)=C1N)=CCCC3,25.44
c12n(C=CN(c3cccc(OC)c3)C1=O)c(nn2)SCc(cc4)ccc4C=C,14.53
C1(=NN(C2=O)Cc(cc3)ccc3Cl)N2C=CN(c4cccc(Cl)c4C)C1=O,13.03
c1(nnc2SC(C)C(=O)Nc(ccc(c34)OCCO3)c4)n2C=CN(c5ccc(cc5)OCC)C1=O,6.17
C1(=NN(C2=O)Cc(cc3)ccc3C=C)N2C=CN(c4ccc(c(C)c4)C)C1=O,11.31
[N+](=O)([O-])c1cc(ccc1OC(=O)c2ccco2)\C=N\NC(=O)c(c3)cc(cn3)Br,17.67
c1(C2=O)n(c(nn1)CC)c3c(cccc3)N2CC(=O)Nc4ccc(cc4F)Br,31.31
C1(=N2)N(C=CN=C1Sc3ccccc3)C(N2CC(=O)Nc4ccc(cc4OC)OC)=O,7.3900000000000015
N12C(C=CC(SC(C)C)=N1)=NN(CC(=O)Nc3ccc(cc3F)Br)C2=O,13.62
C(C(OCC)=O)(=C(CSc1nc(C)c(c(C)c1C#N)C)OC(=C2C#N)N)C2c3cccs3,6.8100000000000005
C(=O)(N\N=C(/C)\CC(=O)Nc1ccccc1F)C(NCCO)=O,15.77
